,EV1,EV2,EV3,EV4,EV5
PI576425,0.006427822,-0.098202745,-0.041066818,0.046368543,0.029647157
PI576426,0.01706347,-0.072498125,-0.055241848,0.035911296,-0.033164561
PI576428,-0.061256947,0.04299756,0.090105682,0.041593071,0.036017465
PI576435,-0.041789677,0.038077867,-0.034308377,0.009939284,-0.013850802
PI576437,-0.036883465,0.007516467,-0.085745236,-0.041630329,0.000493905
PI576348,0.034572389,-0.037817082,-0.041456518,-0.020708632,0.086438701
PI585291,-0.034281279,-0.018314303,0.090545293,0.05012828,-0.007068429
PI585295,-0.027776101,0.005229031,0.048158144,-0.07452298,-0.044615305
PI595702,0.091672385,0.064149974,-0.013126609,0.001847976,0.044527293
PI595714,-0.050138636,0.030670615,-0.032523204,0.00986197,-0.027452201
PI595718,-0.052480868,0.000700282,-0.078471874,-0.024200152,-0.020294573
PI595720,0.00983123,-0.086214035,-0.017720484,0.047490526,0.030014176
PI595739,-0.060266732,0.051582886,-0.056958404,0.010380029,-0.022114944
PI595740,-0.015518653,0.041070712,-0.024089163,0.010216292,0.021981732
PI595743,0.04044235,0.015312442,0.045897612,-0.031953951,-0.047161193
PI595744,0.005853728,0.008519941,0.020905171,-0.020054586,-0.062382834
PI595745,-0.038153615,0.01607748,-0.063425594,-0.005022684,-0.035227189
PI597945,0.006464525,-0.075092887,0.023341086,0.006022642,-0.014173389
PI597946,-0.007888769,0.023508648,-0.040200544,-9.35E-05,-0.002491545
PI597949,0.041263076,0.016824,-0.040887102,-0.035300688,0.051747911
PI597950,0.030917321,-0.010501263,-0.064412231,-0.023703629,0.024441211
PI597951,0.018567294,-0.016134634,0.065003263,-0.1274278,-0.003942238
PI597952,-0.01584531,0.000513431,-0.012142896,-0.016119394,-0.019201042
PI597957,0.027765384,-0.03245608,0.017332015,0.04176274,-0.018432391
PI597958,0.03285067,0.020559739,0.020868327,-0.040108925,0.007979556
PI597960,-0.003520616,-0.020122178,0.045054181,-0.124375673,-0.021115862
PI597964,-0.088320462,0.042722007,-0.020899694,0.022230416,0.059071532
PI597965,-0.076899417,0.028848199,-0.066516727,-0.016045674,-0.029604887
PI597966,-0.063032572,0.045342629,-0.076843597,0.020799583,-0.054740308
PI597968,-0.016961493,-0.0098928,-0.059870505,0.00911086,-0.065264004
PI597971,-0.038832691,-0.029704443,-0.02856712,-0.017515854,-0.043913699
PI597972,-0.013591527,-0.074317804,-0.002267618,-0.027143736,-0.03252175
PI597973,-0.014518715,-0.073765719,0.002006257,-0.025654059,-0.02741515
PI597976,0.006330292,-0.016085195,0.047065937,-0.132031082,-0.021883307
PI597980,-0.064143143,0.03983692,-0.077663206,-0.006493016,-0.028580026
PI597982,-0.027956248,0.009464192,-0.050284889,-0.004478598,-0.024972962
PI598069,0.017998173,-0.070748368,0.024767108,0.020089171,0.005349905
PI598070,0.020398475,-0.062308347,0.004503459,0.023493223,0.026792022
PI601816,-0.087412229,0.042445798,0.074842993,0.035211971,0.041830443
PI607931,1.09E-05,0.056246615,-0.024237784,0.023758778,-0.000178058
PI609456,0.020942629,-0.03627525,-0.040860254,-0.13431898,0.182376272
PI613536,-0.031225018,-0.066761491,-0.017455841,-0.031256784,-0.05936011
PI629034,-0.046334032,0.028673782,-0.025098605,-0.011647406,0.00716334
PI629040,-0.017477229,-0.044362392,0.065667581,0.003073924,-0.054053279
PI641836,0.101838413,0.075354775,-0.016955879,0.003014978,-0.004238108
PI641849,0.079731966,0.010566824,-0.031080402,0.016981966,0.052493226
PI641874,0.056989799,-0.023490768,0.015080954,0.054753031,-0.060665888
PI642992,-0.075230883,0.016612159,-0.093239311,0.014833885,-0.067697382
PI651492,-0.02898578,0.032548179,-0.008965975,0.01940667,0.034266237
