"Class","Species","Control_Percentage","LowInput_Percentage"
"PE","PE(34:3)",5,15.4
"PE","PE(34:1)",9.4,8.6
"PE","PE(36:5)",7,6.6
"PE","PE(36:2)",3.7,3.7
"PE","PE(24:0)",1.1,1
"PE","PE(36:3)",0.4,1.1
"PE","PE(36:6)",0.4,0.5
"PE","PE(34:0)",0.2,0.3
"PE","PE(16:0)",0.1,0.1
"PE","PE(18:2)",0.1,0.1
"PE","PE(36:1)",0,NA
"PG","PG(34:1)",59.1,65.4
"PG","PG(16:0)",34.1,34.6
"SQDG","SQDG(34:3)",45.1,46.8
"SQDG","SQDG(36:6)",24.5,22.3
"SQDG","SQDG(32:0)",14.5,19.2
"SQDG","SQDG(36:5)",2.7,3.6
"SQDG","SQDG(36:3)",2.1,3.2
"SQDG","SQDG(34:2)",1.8,2.6
"SQDG","SQDG(36:4)",1.2,1.3
"SQDG","SQDG(34:1)",0.6,0.5
"SQDG","SQDG(34:4)",0.3,0.3
"SQDG","SQDG(30:0)",0.1,0.2
"SQDG","SQDG(34:0)",0.2,NA
"TG","TG(54:7)",23.3,26
"TG","TG(54:8)",7.8,15
"TG","TG(52:5)",8,5.7
"TG","TG(54:6)",6,7
"TG","TG(54:9)",3.4,8.2
"TG","TG(52:6)",6,5.1
"TG","TG(54:5)",2.6,8.5
"TG","TG(52:4)",5.7,4
"TG","TG(52:3)",6.7,2.1
"TG","TG(54:4)",2.2,3.7
"TG","TG(36:0)",3.6,1.3
"TG","TG(52:2)",2.6,1.1
"TG","TG(50:2)",2.3,1.2
"TG","TG(54:3)",1.5,1.7
"TG","TG(38:0)",2.4,0.6
"TG","TG(50:3)",1.3,0.6
"TG","TG(42:0)",1.2,0.4
"TG","TG(50:1)",0.8,0.7
"TG","TG(48:0)",0.6,0.5
"TG","TG(24:0)",NA,1
"TG","TG(40:0)",0.7,0.3
"TG","TG(56:6)",0.2,0.7
"TG","TG(54:2)",0.3,0.5
"TG","TG(48:1)",0.2,0.5
"TG","TG(52:1)",0.4,0.2
"TG","TG(46:1)",0.3,0.3
"TG","TG(44:0)",0.4,0.1
"TG","TG(46:0)",0.2,0.3
"TG","TG(48:2)",0.2,0.3
"TG","TG(56:1)",0.2,0.3
"TG","TG(28:0)",NA,0.4
"TG","TG(30:0)",0.2,0.2
"TG","TG(46:2)",0.2,0.2
"TG","TG(44:1)",0.2,0.1
"TG","TG(34:0)",NA,0.3
"TG","TG(48:5)",0.2,0
"TG","TG(50:4)",0.1,0.1
"TG","TG(54:1)",0.1,0.1
"TG","TG(56:4)",0.1,0.1
"TG","TG(56:5)",0.1,0.1
"TG","TG(56:8)",0.1,0.1
"TG","TG(42:1)",0.1,0
"TG","TG(42:2)",0.1,NA
"TG","TG(46:3)",0.1,0
"TG","TG(48:3)",0.1,0
"TG","TG(48:4)",0.1,0
"TG","TG(50:5)",0.1,0
"TG","TG(50:6)",0.1,0
"TG","TG(52:7)",NA,0.1
"TG","TG(56:2)",0,0.1
"TG","TG(60:5)",0.1,0
"TG","TG(40:1)",0,NA
"TG","TG(44:2)",0,NA
"TG","TG(44:3)",0,NA
"TG","TG(56:3)",0,0
"TG","TG(56:9)",NA,0
"TG","TG(58:1)",NA,0
"TG","TG(58:2)",0,0
"TG","TG(58:3)",0,0
"TG","TG(58:4)",0,0
"TG","TG(58:5)",0,0
"TG","TG(58:6)",NA,0
"TG","TG(60:2)",0,NA
"TG","TG(60:3)",0,NA
"TG","TG(60:4)",0,0
"TG","TG(60:6)",0,0
"TG","TG(62:5)",0,NA
