Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
6	SORBI_3006G093550	TG_50_6_,TG_52_4_,TG_52_6_,TG_54_5_,TG_54_6_,TG_56_5_	27,14,39,28,19,26	SNP_46345577,SNP_46345632,SNP_46346550,SNP_46345632,SNP_46345632,SNP_46345694	7.052181e-08,6.56051e-08,1.038574e-10,3.705838e-09,3.745944e-09,1.298613e-15	6
7	SORBI_3007G017900	TG_52_5_,TG_52_6_,TG_54_4_,TG_54_5_,TG_54_8_,TG_56_5_	99,95,102,100,99,91	SNP_1535226,SNP_1535226,SNP_1535226,SNP_1535226,SNP_1535226,SNP_1535226	5.789726e-09,5.29967e-08,1.186109e-08,7.108134e-09,1.558961e-08,2.424396e-08	6
7	SORBI_3007G018000	TG_52_5_,TG_52_6_,TG_54_4_,TG_54_5_,TG_54_8_,TG_56_5_	108,97,113,115,102,98	SNP_1551859,SNP_1551859,SNP_1551859,SNP_1551859,SNP_1551859,SNP_1551675	5.789726e-09,5.29967e-08,1.186109e-08,7.108134e-09,1.558961e-08,2.424396e-08	6
10	SORBI_3010G170600	TG_58_3_,TG_58_5_,TG_58_6_,TG_60_4_,TG_60_5_,TG_60_6_	56,61,64,53,53,55	SNP_50190313,SNP_50190313,SNP_50190313,SNP_50190313,SNP_50190313,SNP_50190313	6.932604e-08,2.248491e-08,1.442492e-09,4.327035e-09,1.458919e-10,2.679528e-09	6
10	SORBI_3010G170700	TG_58_3_,TG_58_5_,TG_58_6_,TG_60_4_,TG_60_5_,TG_60_6_	70,81,82,69,71,70	SNP_50196028,SNP_50196091,SNP_50196028,SNP_50196091,SNP_50196091,SNP_50196091	6.932604e-08,2.248491e-08,1.442492e-09,4.327035e-09,1.458919e-10,2.679528e-09	6
1	SORBI_3001G021500	TG_50_5_,TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_	29,15,7,15,8	SNP_1762148,SNP_1758029,SNP_1758029,SNP_1758029,SNP_1758029	6.968769e-08,2.998895e-13,5.883525e-09,1.341847e-09,9.04282e-08	5
1	SORBI_3001G042200	TG_52_4_,TG_54_6_,TG_54_7_,TG_56_4_,TG_56_6_	96,86,86,89,94	SNP_3132129,SNP_3132129,SNP_3132129,SNP_3132129,SNP_3132129	4.301274e-08,5.809281e-09,1.127564e-09,5.765127e-09,2.969696e-09	5
1	SORBI_3001G223100	TG_44_1_,TG_46_1_,TG_46_2_,TG_48_1_,TG_50_1_	79,39,44,58,34	SNP_21321542,SNP_21322778,SNP_21321542,SNP_21321542,SNP_21322778	5.257494e-08,4.494201e-08,5.72101e-09,8.73871e-08,8.912658e-08	5
1	SORBI_3001G311833	AEG_o_34_4_,DG_36_2_,PC_33_2_,PE_34_1_,PE_36_2_	74,72,107,76,63	SNP_59849457,SNP_59849457,SNP_59849457,SNP_59849457,SNP_59849457	7.262226e-08,7.10993e-08,6.237819e-08,5.053398e-08,7.219314e-08	5
1	SORBI_3001G311866	AEG_o_34_4_,DG_36_2_,PC_33_2_,PE_34_1_,PE_36_2_	91,91,118,90,77	SNP_59853923,SNP_59854364,SNP_59853878,SNP_59853923,SNP_59854364	7.262226e-08,7.10993e-08,6.237819e-08,5.053398e-08,7.219314e-08	5
