,DG(12:0_12:0),DG(16:0_18:1),DG(16:0_18:2),DG(16:0_18:3),DG(16:1_18:3),DG(18:1_18:1),DG(18:1_18:2),DG(18:1_18:3),DG(18:1_2:0),DG(18:2_18:2),DG(18:2_18:3),DG(18:3_18:3),DGDG(16:0_18:1),DGDG(16:0_18:2),DGDG(16:0_18:3),DGDG(18:0_18:2),DGDG(18:0_18:3),DGDG(18:2_18:3),DGDG(18:2_18:4),MG(12:0),MG(16:0),MG(18:1),MG(18:2),MG(18:3),MGDG(16:0_18:1),MGDG(16:0_18:3),MGDG(18:2_18:2),MGDG(18:2_18:3),MGDG(18:3_18:3),SQDG(16:0_14:0),SQDG(16:0_16:0),SQDG(16:0_18:1),SQDG(16:0_18:2),SQDG(16:0_18:3),SQDG(16:1_18:3),SQDG(18:0_18:3),SQDG(18:1_18:3),SQDG(18:2_18:3),SQDG(18:3_18:3),TG(10:0_10:0_10:0),TG(10:0_12:0_14:0),TG(10:0_12:0_16:0),TG(10:0_14:0_16:0),TG(10:0_16:0_16:0),TG(12:0_12:0_12:0),TG(12:0_12:0_14:0),TG(12:0_12:0_18:1),TG(12:0_14:0_16:0),TG(12:0_14:0_18:1),TG(12:0_16:0_16:0),TG(12:0_16:0_18:1),TG(12:0_16:0_18:3),TG(12:0_18:1_18:3),TG(12:0_18:2_18:3),TG(14:0_14:0_16:1),TG(14:0_14:0_18:0),TG(14:0_16:0_18:1),TG(14:0_18:1_18:2),TG(14:0_18:1_18:3),TG(14:0_18:2_18:3),TG(14:0_18:3_18:3),TG(16:0_16:0_16:0),TG(16:0_16:0_18:1),TG(16:0_16:0_20:1),TG(16:0_18:0_18:2),TG(16:0_18:1_18:2),TG(16:0_18:1_18:3),TG(16:0_18:1_20:0),TG(16:0_18:1_20:2),TG(16:0_18:1_22:0),TG(16:0_18:2_18:3),TG(16:0_18:3_18:3),TG(16:1_16:1_22:5),TG(16:1_20:1_20:2),TG(18:0_18:2_18:2),TG(18:0_18:2_20:1),TG(18:0_18:2_22:0),TG(18:1_18:1_20:3),TG(18:1_18:2_18:2),TG(18:1_18:2_18:3),TG(18:1_18:3_22:0),TG(18:1_20:3_22:0),TG(18:2_18:2_18:4),TG(18:2_18:2_22:1),TG(18:2_18:3_20:3),TG(18:2_20:2_22:2),TG(18:2_20:3_22:0),TG(18:3_18:3_18:3),DG(18:0_18:2),LPC(16:0),LPC(18:3),LPE(16:0),PA(16:0_18:2),PC(14:0_14:0),PC(14:0_18:0),PC(14:0_18:2),PC(14:0_18:3),PC(14:0_22:5),PC(14:0_22:6),PC(16:0_16:0),PC(16:0_18:0),PC(16:0_18:1),PC(16:0_18:2),PC(16:0_18:3),PC(16:0_20:3),PC(16:0_20:4),PC(16:0_20:5),PC(16:0_22:5),PC(16:0_22:6),PC(16:1_16:1),PC(16:1_18:2),PC(18:0_18:1),PC(18:0_18:2),PC(18:0_18:3),PC(18:0_20:2),PC(18:0_20:3),PC(18:0_20:4),PC(18:1_16:0),PC(18:1_18:1),PC(18:1_18:2),PC(18:1_20:1),PC(18:1_20:4),PC(18:1_24:1),PC(18:2_20:0),PE(12:0_12:0),PE(14:0_22:6),PE(16:0_18:0),PE(16:0_18:1),PE(16:0_18:2),PE(16:0_18:3),PE(16:0_20:4),PE(16:0_20:5),PE(18:0_18:2),PE(18:2_18:2),PE(18:2_18:3),PE(18:3_18:3),PG(16:0_16:0),PG(16:0_18:1),PS(18:0_18:2)
PI533839_lowinput,3111064.3,411073.5969,1525867.196,2269075.78,34754.26305,622594.5318,210006.4756,438383.875,6025992.108,530073.2404,407781.5974,25242492.37,211229.3318,752063.0349,6946810.497,151559.7995,1321353.594,405722.3923,18952778.02,723917.0666,169006.9958,1245188.803,35329.09932,1455202.287,26148.20987,3487618.415,1316872.7,2867133.541,59315432.48,13529.83043,8029.465923,772711.5887,16003.8954,86135.21024,1537023.458,22631.82489,100555.8298,36113.54864,107946.541,146973.7296,174957.4565,234854.4379,179987.5459,152459.3478,69241.5329,393430.3633,359975.0886,33747.13298,221778.2031,24888.84101,55275.60521,157702.6135,4405.859293,5745.951614,54786.13138,49777.68237,42641.42169,344759.2226,182207.325,19617.36508,13287.79109,1051797.729,214120.8429,264631.2884,32344.87597,14435.87821,168721.0689,19420.53283,48687.26374,162875.1629,56319.61837,21874.82068,1289062.268,5102877.107,17692.03225,868528.8005,26818.03672,696774.6733,21558.11425,1737057.381,12101.4539,7930.048039,6014.35347,3770527.578,113846.7459,2331.16646,1507.330425,4768.886261,89568.40616,181779.947,90003.49951,22194.89578,30329.68095,3233.493487,232836.9619,16573.15588,14712.80383,7587.649558,577048.0718,198988.9714,9264548.772,1850549.364,13522020.27,3257707.29,475119.212,106841.221,1699672.213,843.2397334,14014.80445,58243.87128,3052855.167,4535088.718,1008143.376,522674.4314,271843.5442,4156.996501,5540.193505,977326.5861,110961.6003,11436.40649,268028.6383,6989.84289,10411.72053,908938.2384,265072.1086,760703.1628,5683.029295,157619.3494,1747064.994,2874020.359,744019.5057,712342.3026,760241.8666,464373.1202,80052.08302,267524.9362,163896.4509,541966.5625,120516.1919
PI653617_lowinput,2611158.175,716673.9715,2404582.027,3569499.552,47627.48393,478243.5834,282010.8694,669248.155,4202494.045,814040.9036,793231.8426,47046738.71,364361.4099,1257884.259,13301208.59,255022.211,2541199.66,616264.5635,35416513.58,705890.4945,327430.8533,956487.1346,61469.51358,2581244.522,20598.9388,6818564.592,1780493.354,5011336.303,117430626.6,29087.68042,16834.46759,1276897.04,22892.65507,145228.2632,3168104.41,48758.16008,201656.0067,71988.27967,209196.584,57765.06904,34461.8866,54822.8394,28759.81778,44627.86018,13438.96283,86899.62373,57519.62706,5311.738397,57792.30433,4605.075925,19646.08672,105066.9921,3446.501236,2071.966277,9288.145448,9210.152513,22946.71377,294693.4917,176682.2298,17293.83855,18419.3337,1886913.478,110869.7074,142599.389,10316.97162,6866.813264,123647.9387,8531.157856,17304.58553,62651.11293,56546.22253,11832.19401,1644675.432,7214118.853,5678.136658,733715.589,6764.328925,398870.3547,19397.50722,1467430.929,4578.206853,4025.708891,5508.922511,5213273.722,148622.8794,2412.157072,1900.512382,6167.048745,102785.5361,361317.6293,211121.787,51079.32555,71973.21249,31791.49906,503897.6548,33375.81025,61233.71406,54263.3244,1713999.579,446088.8665,17940543.48,3321396.613,25724387.31,8267557.355,962418.2778,370788.4434,5836686.588,4047.835586,30460.27175,124359.9553,7936932.154,6096528.493,1166721.961,886090.1485,570430.5248,3614.41121,21704.01687,1842270.172,170095.327,18789.24031,471041.2776,11528.41396,33133.57248,1226933.281,264214.8312,2368189.143,8466.440189,138067.3122,4807255.698,7314746.699,1839341.243,2163554.091,1915752.408,1400216.912,248308.3807,779646.5555,297030.5868,1085846.44,197824.5012
PI534054_lowinput,2306365.456,416521.8346,1441215.22,2062994.212,31791.72244,425022.8212,178577.2819,416470.1432,4173488.708,509165.3868,499963.5326,27360059.94,238294.0918,815725.5763,7745842.783,152323.4797,1507541.839,420752.0842,20161315.66,479495.435,173357.5556,850045.5657,47421.86727,1595852.485,23490.86687,3210489.674,1294491.876,2996093.597,72943750.35,15842.03352,10240.29414,863137.1035,23557.80414,128492.7321,1976921.11,25652.75008,120254.721,45189.02885,135300.0561,51341.012,22290.0289,29759.23974,18734.15246,24106.721,8016.978919,47865.03478,37468.29689,3857.48959,31906.26613,4389.411308,9748.180441,41441.92004,2159.377234,1100.978697,7610.621343,8778.823051,7667.730454,169887.0417,101887.2556,11227.45452,8016.930501,1021798.747,69992.12984,73728.64458,6823.414589,2708.601071,93552.15737,4000.983483,10909.3124,46230.44922,47370.07973,6315.313318,995207.2634,3976748.876,2693.452446,483656.1763,6316.668269,274409.8999,15308.62285,967312.2956,3874.099012,3150.824662,3307.81059,2738758.364,88034.64195,2103.725865,1510.318669,3957.928886,57617.35032,183438.435,100592.3595,26613.68877,44653.0646,10200.83242,261221.1102,15573.414,18782.28645,9128.065921,593834.6065,216523.9483,9068927.562,2093980.645,13073389.89,3803663.426,484314.9429,176296.2241,2493651.744,1876.796956,19986.78752,60820.53911,3571469.988,5378248.309,784423.4694,482080.0049,241117.3825,2809.301341,8521.131526,1147001.173,98936.80452,12389.43362,251977.9259,5322.750064,13122.35331,1159439.306,175411.5971,802686.3248,6936.439617,111005.8117,2328200.071,3562163.376,858630.996,1022794.442,887754.7291,685886.3109,98853.55981,344397.3517,174687.1464,568426.1478,110558.5191
PI534037_lowinput,2288317.999,494104.8547,1650147.937,2142055.688,31186.70772,386293.1834,223529.3185,545410.477,3846225.563,665776.5355,589816.2436,26373017.51,288618.7982,979457.679,7297536.569,197234.2679,1595368.12,556332.7313,19919329.1,474825.4003,177890.0155,772586.3429,62283.95208,1538703.498,30136.04651,3348086.726,1575721.649,3627648.845,70757381.52,14133.06245,12017.98129,837453.107,18220.08767,192437.7238,1870927.906,25294.49087,129413.4948,67687.2322,177674.0788,56643.59757,19975.04133,37360.10422,17035.10796,23414.93671,9272.581716,57720.71057,34070.20821,5643.477489,32491.51693,5655.410598,10375.53935,62840.02403,2226.63727,1815.467596,8254.562667,11310.82153,9828.334456,193523.8156,113293.8081,11002.91984,8493.993283,1037792.172,76313.02033,99464.17219,7341.022591,2914.751837,120643.8881,4323.658333,10156.05435,66615.05842,84792.70714,6528.070789,938689.3369,4152657.006,2917.22088,536582.3251,7332.044469,316105.64,17410.16722,1073164.604,3893.426198,3292.630263,3449.240044,2689754.836,93113.24683,2201.868006,1610.166986,4023.604191,79048.74241,241172.2713,112578.4417,29018.28745,46322.7757,7858.758712,319172.9083,20381.15503,19585.74224,7542.654849,616490.5836,275514.8158,13061110.98,3043762.331,18860497.32,3942314.898,730765.4065,257672.6973,2769233.423,3563.733259,37750.12736,78957.95604,3695890.568,4083234.572,921756.4442,835142.9867,325631.0662,2996.126049,10839.96862,1619725.155,153637.6745,21292.43172,435299.924,5581.226354,21260.40482,1730231.904,179035.3743,841366.0438,7896.733872,122408.7797,3032372.25,4524588.614,957446.8948,1283452.487,1017428.104,908619.5657,141230.9178,388581.9522,205640.0183,572158.7293,114320.3768
PI656117_lowinput,2392311.319,618796.4104,2020307.587,2426538.447,43349.71725,403151.7707,301926.5509,703513.8392,3729629.886,869905.4583,837351.6667,40642549.19,395760.265,1150729.479,10730935.83,300026.8366,2417580.893,687811.855,29395437.8,586854.414,264619.3861,806303.5688,79174.92236,2341679.038,20341.86862,4606956.145,2226715.42,4993357.636,107712653,24984.35243,13807.28131,1137095.762,29248.82469,212579.7014,2861356.47,43919.76901,209966.4654,97443.25062,261894.0995,46596.31996,18820.53022,29987.14984,15824.01708,22303.5446,9963.643837,48616.65318,31648.03263,4034.596655,32080.29666,4445.809321,10129.2574,40733.59749,2371.187368,1590.733769,6514.121374,8891.618927,8648.019226,202935.0754,102036.4795,15995.56114,8461.260803,1396420.275,83913.07462,101522.8043,12351.37764,4331.360776,114789.8271,4484.877952,14677.45634,49696.85665,154552.5661,9839.83568,986373.7476,5110269.845,2721.485733,595439.0237,6562.199152,338835.5589,21562.84664,1190877.952,4075.028372,3891.108513,4144.85587,2876371.738,129439.4091,2073.570385,1775.712199,4397.029542,89303.546,307484.7054,170367.949,41580.77039,90276.82992,5602.222087,469319.6772,26963.43162,35291.70311,7531.58558,879551.1584,389222.6079,18907951.02,3097468.018,27195443.36,5683461.257,981695.1884,330457.673,4614698.753,3835.982752,90789.98989,118745.0027,5207417.132,6345387.123,1093857.515,1194862.785,441680.7977,3377.076486,14904.67756,1576689.32,278180.6897,23706.49975,617624.9546,6662.250667,23842.8179,2626478.319,229560.9568,1200827.993,10547.1068,179064.7788,4277354.996,6160530.284,1294883.046,1875342.016,1343463.835,1355103.073,212715.9502,543233.9838,221601.7755,886538.2031,150747.0387
PI609456_lowinput,2652682.676,976082.9482,3713621.432,3662647.137,108687.6415,512292.4342,540669.7356,1450986.304,3924067.715,1842404.768,1325634.396,55700583.01,649252.6447,1473049.078,15879620.28,365992.0856,3890455.758,886588.4158,42580358.77,793590.4488,458187.7116,1024584.847,167675.7505,3342274.43,42845.54705,7791571.959,5331095.774,11913656.86,143728856.9,40222.57955,20520.56012,1604165.06,45660.5982,211991.5269,4329758.125,62450.02576,294694.2345,167710.851,458840.1311,55812.03154,32854.7756,49028.82573,25333.13577,41019.59601,14781.38917,75948.59166,50666.26918,6258.035046,55622.20164,9229.396568,18573.82282,80142.72972,6248.742626,2835.171858,23639.8999,18458.79338,30751.78461,338741.1906,160393.1063,23745.89332,10901.9469,2151955.787,125806.0261,173649.755,19142.00075,6835.61836,166957.3699,13659.32308,21771.91267,116089.5386,146311.4351,14480.49128,1223645.781,7570185.984,7168.814972,877540.944,7774.274387,615310.0231,39571.52044,1755082.043,4498.558879,6694.613623,7210.605194,3612249.993,245731.3676,2382.431784,2095.284442,7137.214442,125623.9866,582595.3725,251751.4794,70949.13348,117574.1832,21449.1489,528179.5356,38022.78059,49942.08479,11564.88488,954448.3935,441558.3348,20873193.81,3734462.656,29934182.23,4930174.941,1119674.105,477769.6851,4469962.225,8875.951245,121072.8574,177877.4002,4555287.991,5220698.364,1358039.933,1124250.297,431077.2406,3670.494312,43393.30543,1900917.162,206862.765,29520.33311,586422.7994,11547.47567,32842.94456,2445148.427,298432.0986,1278982.819,24204.69241,218182.7353,5675144.788,8410301.314,1337520.364,2341582.087,1412583.625,1767512.227,255360.9209,604255.4695,267469.0024,1263894.685,211802.7687
PI641824_lowinput,2602614.571,1043349.645,3621232.272,5590792.198,66771.20877,495439.9403,311485.2611,937185.3983,4346453.983,1184631.918,1320999.38,50231517.88,409891.1463,1650649.175,16645730.35,308457.45,3019704.192,754844.8414,37293774.73,806969.7426,450201.8406,990879.8606,136866.2186,2904169.219,38676.47164,7770199.571,2688278.804,6356320.879,129392130.8,32470.8235,18926.99711,1355696.896,25915.53172,157843.4003,3441329.979,50691.21846,201343.7405,76144.63513,197894.4461,57315.65567,15094.91575,35110.43291,17721.81051,30881.42232,12011.20738,50877.60554,35443.61885,4053.888718,42721.00491,4417.92132,10917.25937,74130.50757,2581.140637,1408.444739,6432.438973,8835.842836,12921.97007,310425.0877,191501.855,26626.21784,20000.22049,2548766.121,102333.8356,132501.858,7532.17554,4200.247555,129969.345,5143.343874,16192.25224,68748.96645,41046.02632,13915.28053,2168028.868,9187569.122,5014.530543,760836.1287,7783.682371,471507.707,22006.02076,1521672.013,6981.137853,6107.625763,6691.914327,6863355.023,185569.5491,2314.498325,2738.186297,8323.485188,144257.024,467195.2231,224830.6871,39470.36952,101046.2664,5179.37511,517479.6791,35648.86684,40411.76668,21231.91129,1636897.329,457151.1559,19753018.97,3864824.895,28294354.53,6881441.76,733683.609,290927.6213,5802100.55,4517.554054,39531.00819,138716.1753,6469111.479,5297220.105,1450879.629,819003.8759,396117.6975,4681.255737,20313.4119,2227590.456,146994.9204,25822.37242,428072.2219,8606.148764,22624.08031,2103277.304,301936.4412,2284222.386,12063.48359,158953.5298,5331819.271,8548241.122,1925698.998,2216742.616,1965926.819,1487174.332,220833.8198,768671.7593,391771.6919,1125728.452,255213.164
PI576352_lowinput,2349026.106,788034.7422,2571788.572,3355766.906,57389.39058,417650.822,328667.0403,831861.7086,3806160.101,1039221.55,1050878.296,46040170.89,439420.1023,1353654.554,13277260.93,290054.4204,2858332.183,716516.6977,33512997.71,615434.1628,345406.21,835301.5792,105369.1374,2793401.793,41550.72847,6631738.496,2624868.594,6037547.993,120648579.2,21181.36197,17413.73455,1352499.494,24100.42579,162878.7717,2570385.56,39043.4304,180397.5478,73051.5513,207155.6869,56608.46948,19841.26468,37781.96984,19299.14977,31937.19924,13752.26742,65251.941,38598.30314,6156.012895,45537.89648,8522.189956,17203.43145,70934.352,2862.973583,1911.62269,7568.83302,17044.37996,22245.48695,530796.8232,353043.2482,28145.7386,17495.30649,1902698.916,112170.3709,216014.2153,17250.62437,6927.185787,220219.1365,12407.07194,9709.360317,124881.4063,41690.60513,25046.61311,1632718.249,5627202.173,5936.745083,824712.8183,26979.64923,566449.9798,53694.31006,1649425.395,23668.93158,18814.90703,22474.06518,2940270.792,159961.8929,16897.67471,20549.34847,30367.06313,117696.6894,547868.6712,193416.1748,70384.37951,96075.21758,4074.061223,691159.9722,50767.41224,45457.93383,20493.59893,1216722.967,547313.7208,20761506.28,6030231.428,29814535.07,8998346.019,968178.9167,547615.2119,6454332.117,3293.555775,60062.95525,186876.1335,8381770.41,5196544.239,1745950.824,1268770.234,523020.9674,3940.900679,32705.67649,3470379.079,186735.9928,29609.11669,660996.2604,7376.404966,29032.38453,3450068.002,239651.445,1580082.311,20987.78122,181236.1979,5460667.968,7984789.495,1804311.167,2429196.65,1890157.591,1694075.403,268199.9382,766113.3055,342510.0329,1085496.914,142840.9041
PI533980_lowinput,2755723.243,877329.5263,3006535.882,4826606.891,60492.71958,518086.5394,395568.4967,915887.7539,4484353.055,1128630.493,1202128.507,50823644.55,474806.249,1454181.145,15642518.4,315690.2929,3469055.383,768271.014,38199516.81,850464.4681,401786.908,1036172.865,123338.5067,2970108.023,42966.87651,7122378.1,2657691.931,6863223.313,131388667.6,31989.1858,27736.20819,1738731.177,43155.1043,203791.1841,3919980.541,48770.29285,259622.087,94971.82693,264219.5041,76313.01648,36301.16189,54333.7987,32066.0671,48077.94078,17941.79008,88859.07006,64132.12799,4472.114355,65871.29164,4812.02692,19924.99114,74524.5706,3578.53776,2995.696661,8570.232066,9624.053354,18845.29225,384712.651,206998.4285,33382.14927,14310.57604,2207572.54,119948.4334,165849.8341,17504.08468,7128.306794,165820.0245,4141.261473,23713.29168,140573.192,39890.43238,16149.2749,1916098.104,8711592.311,4599.097265,1148459.917,19733.39441,628742.0298,33895.1151,2296920.294,9128.331387,9036.485624,7717.931024,6195295.249,203189.4926,2414.4187,3329.129814,7514.366345,110496.4089,380575.2474,176195.282,57259.23251,108703.0522,5541.290886,844410.1793,32734.13811,52534.3074,25525.23356,1585263.399,669412.1542,17833607.97,3944035.967,25456573.51,11215410.12,1076629.924,460696.9347,6478089.883,3450.641908,40646.86701,125160.6955,10353295.06,5337735.108,1465087.882,1055264.487,538316.6832,6764.586034,21159.78555,2048776.208,249503.5985,24162.64015,556218.925,10899.15221,31096.38848,3133554.35,314002.5111,1957592.772,13906.6407,205874.615,5568822.553,8377049.466,2105838.363,2464880.468,2134752.018,1608170.866,234765.9218,893682.5633,396624.4283,1173134.763,350581.7437
PI656012_lowinput,2618309.691,1042534.771,3146028.482,4973366.401,79604.76737,511071.5161,350686.7125,868653.5936,4064393.999,1094652.407,1198165.039,56363999.18,496934.9799,1387483.324,18325328.26,263292.7559,3681151.819,960625.9688,43389153.06,862169.6238,441480.4401,1022143.121,127813.0397,3457439.314,62237.34811,7975545.812,2955215.035,7501737.098,144534869.4,42702.57651,35226.27628,2228305.089,58524.28134,231468.9021,5144848.567,64872.03696,319695.8679,131941.5844,358987.5134,50182.13166,26937.17098,39735.31458,24736.63319,41910.18981,11705.60879,66936.39069,49473.27054,3795.256233,53471.68939,5610.676972,18063.31338,95565.75471,3108.272247,2075.992614,10509.96393,11221.3534,23464.19639,323468.4292,163902.183,19006.86295,11842.09929,2296331.683,119063.2986,166025.4573,11216.31899,8852.060067,135603.8631,5813.086085,29095.17627,109711.0131,61608.78764,17530.92151,1355529.326,6250409.088,6723.386862,781726.7728,16548.51876,511853.7545,17855.11841,1563453.506,8458.483739,7075.525287,7166.786661,3664618.522,145247.6613,2694.683985,2829.338066,7318.026754,94476.15569,484496.6605,276293.1682,63134.80077,150646.7165,5729.145718,587113.2702,24047.55645,55785.00836,20366.46996,2171546.119,475047.5826,21650206.65,4561093.25,31163267.05,9675645.064,1119315.274,482166.8699,7076854.992,7083.631629,51772.66315,111264.098,8687910.099,5397568.209,1206020.126,928442.9016,513122.6558,8895.92932,25949.29863,2420911.989,184836.0297,73723.5268,496426.2451,18639.60606,38254.76844,2710184.777,320794.8107,3060638.56,15533.08133,214013.0881,5945142.02,9338349.691,2285773.681,2571088.942,2356862.281,1660022.472,293417.3562,960221.4385,505692.7716,1351553.381,222453.8648
PI656096_lowinput,2289409.008,672867.7835,2176668.272,3149833.102,44720.32833,391189.6085,265420.5989,593784.2919,3566863.855,745807.99,785884.154,45353827.97,295754.9323,1047362.612,12459536.56,222318.6671,2643128.512,648540.6127,33883957.63,598854.2498,309944.5111,782379.1573,89214.41275,2702687.969,20697.48735,5699419.22,2237898.292,5604202.275,118886658,23560.74181,22551.69849,1499374.607,33013.99986,198165.9578,3434496.531,51394.15929,229347.0562,90094.20502,263385.3501,45023.15652,18276.3424,34698.68863,19952.83293,29872.52105,12207.86317,54087.07635,39905.66518,3804.659768,41937.57804,7389.947518,12552.17641,62973.11591,2510.808042,1625.201345,6892.257182,14779.89397,11475.10466,223970.0325,114140.4102,10264.73438,9203.551852,1686758.826,91347.11305,119716.0739,12065.53127,3053.847667,110542.2905,4287.903981,17387.00025,51929.15298,31357.45128,10779.94373,1040421.295,4718367.728,3397.863869,513985.2146,6854.822826,327058.1781,14017.97961,1027970.34,3930.04445,3902.967896,4071.046873,2654477.879,103577.4841,3068.312725,1944.045631,3943.415093,77652.88768,326687.0985,177305.2355,45889.47166,134767.6032,5977.125415,453294.7455,25760.07969,29296.5145,15164.98742,1061700.736,366516.6464,13729393.93,3484654.299,19756238.34,6423924.525,795383.3697,253738.2026,3716518.758,3163.58985,41883.51913,95892.96657,5906934.657,6687812.059,1272522.075,756640.3745,397240.6177,5450.702675,15380.68195,1944545.185,154191.9703,18430.93974,402672.7777,9333.392861,26459.4155,2084108.007,228906.3669,1432883.512,12600.43471,163441.7651,3900489.689,6021652.281,1619639.302,1752980.33,1632338.111,1166701.927,163706.6263,622112.3557,292265.2052,994896.205,154370.2333
PI533949_lowinput,2706013.391,833687.5919,2769861.556,3841384.218,53655.95711,484476.8423,392828.4223,926904.5116,4308137.544,1198794.064,1158670.199,44430162.93,422573.138,1463876.498,11290206.03,410525.612,3435211.324,888439.4214,34768853.12,767589.6249,323183.0766,968953.7761,124716.5995,2622307.692,37690.63435,5339757.531,3901025.678,8697408.95,113684605.2,18739.93285,15202.08633,1230087.857,28643.43337,211496.7112,2911527.573,45356.19558,246343.7909,105914.4659,313034.7215,52385.52903,26836.06313,42209.24812,26327.17611,35010.56261,15151.85146,72291.5083,52654.34671,6472.827111,50020.40224,15075.28338,20361.96269,87358.47533,3378.88803,1773.756747,20157.31094,30150.56668,28474.44168,468485.1805,253090.8226,26191.07282,11903.60928,1678926.599,136922.5232,211494.4855,22712.44749,8330.625133,193918.8913,10359.23998,25761.77087,146219.9987,168071.581,20234.89516,1352786.068,7066562.368,9754.186578,1003425.856,20963.66641,631321.0919,54965.03031,2006851.174,12816.81863,10828.29672,15363.1998,3791174.243,217397.2517,6763.349661,10503.94842,15359.56562,120508.3952,387491.9249,179880.428,45516.38081,133299.7807,3009.648483,511167.4186,30074.74616,40213.99525,10523.04919,1328489.411,436569.0892,17754573.36,3441141.322,25429118.44,7549973.389,1169765.514,463127.2092,6298953.282,3824.422233,103865.3581,140793.9823,6973864.354,5526329.186,1444732.084,1488585.065,604498.2669,3678.866287,17500.82265,1784700.782,302659.2707,23709.14727,773878.9102,7669.312875,32347.04629,3050414.682,296636.7758,1814313.422,15578.51497,234329.5998,5524038.841,8324324.915,1771050.729,2250260.473,1852542.57,1566550.693,217694.3112,722563.7757,284943.7873,1014780.007,372445.6385
PI534104_lowinput,2675339.342,922667.6223,3101617.833,3026094.087,63658.69977,484585.1841,457505.121,1072387.88,4206508.498,1387333.685,971628.8696,50862312.99,638555.3561,1591282.582,14972707.13,396526.2259,3242945.484,841049.1225,37298215.74,745810.9869,416568.7802,969170.4608,122801.5322,2982404.779,57026.68444,8104739.145,4472088.688,8681234.979,131884448.7,30892.97085,23203.35617,1686626.984,51699.72689,237195.7123,3535711.902,45617.53117,233247.9451,109352.939,283870.4997,48036.32753,16679.45543,27500.45904,16420.59973,30583.18388,10520.86134,50775.59607,32841.20109,5436.466823,40962.36503,5667.778548,17025.39246,69136.28332,2624.990204,1565.868196,18414.36542,11335.55698,17089.91591,320098.8746,145124.4467,10602.20123,8175.612998,2102673.316,108283.91,164363.1106,7669.603768,6431.895381,163908.2289,8097.467254,19430.97348,76074.47246,53250.67212,13485.80326,890820.0455,5176840.009,4962.730536,690008.3904,8962.763713,442017.6705,32906.48359,1380016.643,6782.430612,6024.73727,8704.000139,2478404.136,159291.7408,3317.108764,4350.895145,7978.070787,120642.5431,406743.5401,215644.1398,56882.90101,101526.3526,3380.547437,512363.7853,44529.52373,45456.72499,11566.4226,1032924.584,453981.3703,19098637.57,6563880.973,26872157.94,6970283.962,1304997.909,699591.2123,4555594.273,6316.136094,131652.2134,197271.8467,6283584.023,5913731.4,1258767.534,1239096.129,469117.6058,3755.670619,27481.08037,3697801.551,187129.7761,25054.51051,643329.006,7137.11145,29043.53633,3100493.376,287726.8988,1447266.55,17112.47196,246760.5777,6208066.618,8906924.01,1589925.461,2573720.739,1643601.905,1961803.676,309042.2705,645610.3985,336741.0108,1231786.766,194557.2287
PI595714_lowinput,1688532.366,409584.316,1353341.752,1929243.698,32082.67024,296521.2502,181843.4336,437963.843,3003935.65,545525.3534,537745.6945,23674064.04,243793.3256,737413.8151,6870907.705,158800.0541,1704537.819,403223.2339,18587231.71,385392.7837,170700.2718,593042.5443,54213.49027,1384682.153,21179.31446,3111782.862,1406067.107,3309527.518,59156757.04,14592.57641,10294.55044,746287.3171,19128.57441,98211.85621,1734398.378,26145.53139,133011.9072,49194.647,137715.1923,37523.95536,18194.11159,25862.77243,16160.58327,23141.58424,8929.51098,47411.56422,32321.1643,3256.22041,31929.34443,4667.309491,9663.286463,43218.01022,2129.836657,964.4367158,7234.18285,9334.618853,7796.135815,181106.1413,93713.39907,8929.797577,6321.571039,924828.3316,60968.52914,91710.99276,7729.667759,2751.181778,115282.8768,3472.6632,12054.42298,49801.05649,29472.91856,7033.596572,784368.5288,3816441.901,2434.211888,464284.2601,5943.283931,293048.0883,14329.90044,928568.4332,3373.258629,3269.321775,3901.998866,2312446.676,83658.49249,1623.123028,1857.521049,3768.796189,60796.81625,226421.3297,115512.6487,36230.42359,48810.57825,2295.211789,296434.0064,25793.40029,22187.06545,10967.503,826753.1937,250766.0743,10587606.7,2483866.454,15190985.95,4915874.803,621312.806,238410.4846,2760273.044,2754.274849,42047.25137,97710.17136,4458187,4093284.008,846009.6563,710808.6725,310428.862,2923.374682,11995.93925,1327587.465,157152.3264,17105.66009,372010.7788,5423.284647,18334.42313,1597444.864,146075.1371,1123851.162,10688.70156,131039.5092,2904423.615,4260510.286,1068234.598,1266415.643,1107388.213,871508.4819,159060.4938,421795.5589,171125.6435,549411.8477,121705.2264
