"Class","Species","Control_Percentage","LowInput_Percentage"
"PE","PE(16:0/18:1)","10.2","0.9"
"PE","PE(14:0/22:6)","0.4","8.5"
"PE","PE(18:0/18:2)","1.0","7.7"
"PE","PE(18:3/18:3)","2.6","3.2"
"PE","PE(18:2/18:3)","3.8","1.1"
"PE","PE(12:0/12:0)","1.1","1.0"
"PE","PE(16:0/18:0)","0.3","<0.1"
"PE","PE(16:0/0:0)","<0.1","NaN"
"PE","PE(16:1/18:2)","NaN","3.1"
"PE","PE(18:0/18:1)","<0.1","NaN"
"PE","PE(18:0/18:3)","NaN","0.4"
"PE","PE(18:1/18:1)","NaN","<0.1"
"PE","PE(18:1/18:2)","0.5","NaN"
"PG","PG(16:0/18:1)","60.3","56.6"
"PG","PG(16:0/16:0)","33.4","17.5"
"PG","PG(16:0/18:0)","NaN","25.9"
"PG","PG(18:0/16:0)","6.3","NaN"
"PS","PS(18:0/18:2)","34.9","100.0"
"PS","PS(18:0/20:4)","65.1","NaN"
"SQDG","SQDG(16:1/18:3)","0.4","59.7"
"SQDG","SQDG(16:0/18:3)","48.4","3.3"
"SQDG","SQDG(18:3/18:3)","26.2","4.6"
"SQDG","SQDG(16:0/18:1)","0.7","24.4"
"SQDG","SQDG(16:0/16:0)","15.6","0.3"
"SQDG","SQDG(18:1/18:3)","1.2","4.1"
"SQDG","SQDG(18:2/18:3)","2.9","1.7"
"SQDG","SQDG(18:0/18:3)","2.2","0.8"
"SQDG","SQDG(16:0/18:2)","2.0","0.6"
"SQDG","SQDG(16:0/14:0)","0.2","0.5"
"SQDG","SQDG(16:0/18:0)","0.3","NaN"
"TG","TG(16:1/20:1/20:2)","0.1","27.3"
"TG","TG(16:0/16:0/16:0)","18.4","8.1"
"TG","TG(16:1/16:1/22:5)","20.6","5.3"
"TG","TG(18:2/18:2/22:1)","<0.1","15.8"
"TG","TG(18:1/18:2/18:3)","5.3","5.9"
"TG","TG(16:0/18:2/18:3)","7.0","0.2"
"TG","TG(18:2/18:2/18:4)","6.9","<0.1"
"TG","TG(16:0/18:1/18:3)","5.0","0.6"
"TG","TG(16:0/18:3/18:3)","5.3","<0.1"
"TG","TG(16:0/18:1/18:2)","3.6","<0.1"
"TG","TG(18:0/18:2/20:1)","<0.1","3.0"
"TG","TG(18:3/18:3/18:3)","3.0","<0.1"
"TG","TG(18:1/18:2/18:2)","2.3","0.1"
"TG","TG(14:0/18:1/18:2)","1.1","1.2"
"TG","TG(12:0/12:0/14:0)","1.4","0.6"
"TG","TG(16:0/18:0/18:2)","2.0","<0.1"
"TG","TG(18:0/18:2/18:2)","2.0","<0.1"
"TG","TG(18:1/18:1/20:3)","0.1","1.9"
"TG","TG(12:0/12:0/12:0)","1.8","<0.1"
"TG","TG(10:0/12:0/14:0)","1.2","0.3"
"TG","TG(16:0/18:1/20:2)","1.3","<0.1"
"TG","TG(16:0/16:0/18:1)","0.7","0.5"
"TG","TG(10:0/12:0/16:0)","0.7","0.4"
"TG","TG(16:0/16:0/20:1)","0.3","0.8"
"TG","TG(12:0/14:0/16:0)","0.9","<0.1"
"TG","TG(10:0/14:0/16:0)","0.7","0.2"
"TG","TG(14:0/18:1/18:3)","0.1","0.6"
"TG","TG(18:2/18:3/20:3)","<0.1","0.7"
"TG","TG(10:0/16:0/16:0)","0.2","0.3"
"TG","TG(16:0/18:1/22:0)","0.2","0.3"
"TG","TG(12:0/12:0/18:1)","<0.1","0.4"
"TG","TG(12:0/14:0/18:1)","<0.1","0.4"
"TG","TG(10:0/10:0/10:0)","0.1","0.2"
"TG","TG(12:0/16:0/18:1)","0.2","0.1"
"TG","TG(12:0/16:0/18:3)","<0.1","0.3"
"TG","TG(12:0/18:2/18:3)","0.2","<0.1"
"TG","TG(14:0/14:0/18:0)","0.2","<0.1"
"TG","TG(14:0/16:0/18:1)","0.2","<0.1"
"TG","TG(12:0/16:0/16:0)","0.1","<0.1"
"TG","TG(16:0/18:1/20:0)","0.1","<0.1"
"TG","TG(12:0/18:1/18:3)","<0.1","<0.1"
"TG","TG(14:0/14:0/16:1)","<0.1","<0.1"
"TG","TG(14:0/18:2/18:3)","<0.1","<0.1"
"TG","TG(14:0/18:3/18:3)","<0.1","<0.1"
"TG","TG(18:0/18:2/22:0)","<0.1","<0.1"
"TG","TG(18:1/18:3/22:0)","<0.1","<0.1"
"TG","TG(18:1/20:3/22:0)","<0.1","<0.1"
"TG","TG(18:2/20:2/22:2)","<0.1","<0.1"
"TG","TG(18:2/20:3/22:0)","<0.1","<0.1"
"TG","TG(10:0/10:0/14:0)","NaN","0.2"
"TG","TG(10:0/16:1/18:1)","<0.1","NaN"
"TG","TG(12:0/12:0/16:1)","<0.1","NaN"
"TG","TG(12:0/12:0/18:2)","<0.1","NaN"
"TG","TG(12:0/14:0/18:3)","<0.1","NaN"
"TG","TG(12:0/16:0/18:2)","0.2","NaN"
"TG","TG(12:0/18:1/18:1)","0.1","NaN"
"TG","TG(12:0/18:1/18:2)","0.1","NaN"
"TG","TG(14:0/14:0/16:0)","0.2","NaN"
"TG","TG(14:0/14:1/18:1)","NaN","0.3"
"TG","TG(14:0/16:0/16:0)","<0.1","NaN"
"TG","TG(14:0/16:0/18:2)","NaN","0.5"
"TG","TG(14:0/16:1/18:2)","NaN","0.3"
"TG","TG(14:0/16:1/22:6)","NaN","<0.1"
"TG","TG(14:0/18:1/18:1)","NaN","<0.1"
"TG","TG(16:0/16:0/18:2)","2.0","NaN"
"TG","TG(16:0/16:0/20:3)","NaN","0.3"
"TG","TG(16:0/18:0/22:1)","NaN","1.1"
"TG","TG(16:0/18:1/18:1)","0.3","NaN"
"TG","TG(16:0/18:1/20:1)","0.2","NaN"
"TG","TG(16:0/18:1/22:1)","<0.1","NaN"
"TG","TG(16:0/18:2/22:0)","NaN","<0.1"
"TG","TG(16:1/18:1/18:1)","2.3","NaN"
"TG","TG(16:1/20:1/22:1)","<0.1","NaN"
"TG","TG(18:0/18:0/18:2)","NaN","<0.1"
"TG","TG(18:0/18:0/20:1)","<0.1","NaN"
"TG","TG(18:0/18:1/18:2)","NaN","0.6"
"TG","TG(18:0/18:1/22:0)","NaN","1.4"
"TG","TG(18:0/18:2/18:3)","NaN","1.5"
"TG","TG(18:1/18:1/18:1)","NaN","0.4"
"TG","TG(18:1/18:1/18:2)","NaN","0.4"
"TG","TG(18:1/18:2/22:0)","NaN","7.4"
"TG","TG(18:1/20:0/22:1)","<0.1","NaN"
"TG","TG(18:1/20:1/22:1)","<0.1","NaN"
"TG","TG(18:2/18:2/20:2)","0.2","NaN"
"TG","TG(18:2/18:3/20:1)","NaN","<0.1"
"TG","TG(18:2/18:3/22:1)","NaN","0.1"
"TG","TG(18:2/20:3/21:0)","<0.1","NaN"
"TG","TG(18:2/22:0/22:3)","<0.1","NaN"
"TG","TG(18:3/18:3/20:3)","NaN","8.7"
"TG","TG(8:0/10:0/10:0)","NaN","<0.1"
"TG","TG(8:0/16:1/18:1)","<0.1","NaN"
