Common_Lipids,Unique_Control,Unique_LowInput
TG(16:0/16:0/20:1),NA,NA
TG(16:0/18:0/18:2),NA,NA
TG(16:0/18:1/18:2),NA,NA
TG(16:0/18:1/18:3),NA,NA
TG(16:0/18:1/20:0),NA,NA
TG(16:0/18:1/20:2),NA,NA
TG(16:0/18:1/22:0),NA,NA
TG(16:0/18:2/18:3),NA,NA
TG(16:0/18:3/18:3),NA,NA
TG(16:1/16:1/22:5),NA,NA
TG(16:1/20:1/20:2),NA,NA
TG(18:0/18:2/18:2),NA,NA
TG(18:0/18:2/20:1),NA,NA
TG(18:0/18:2/22:0),NA,NA
TG(18:1/18:1/20:3),NA,NA
TG(18:1/18:2/18:2),NA,NA
TG(18:1/18:2/18:3),NA,NA
TG(18:1/18:3/22:0),NA,NA
TG(18:1/20:3/22:0),NA,NA
TG(18:2/18:2/18:4),NA,NA
TG(18:2/18:2/22:1),NA,NA
TG(18:2/18:3/20:3),NA,NA
TG(18:2/20:2/22:2),NA,NA
TG(18:2/20:3/22:0),NA,NA
TG(18:3/18:3/18:3),NA,NA
DG(18:0/18:2),NA,NA
LPC(16:0),NA,NA
LPC(18:3),NA,NA
LPE(16:0),NA,NA
PA(16:0/18:2),NA,NA
PC(14:0/14:0),NA,NA
PC(14:0/18:0),NA,NA
PC(14:0/18:2),NA,NA
PC(14:0/18:3),NA,NA
PC(14:0/22:5),NA,NA
PC(14:0/22:6),NA,NA
PC(16:0/16:0),NA,NA
PC(16:0/18:0),NA,NA
PC(16:0/18:1),NA,NA
PC(16:0/18:2),NA,NA
PC(16:0/18:3),NA,NA
PC(16:0/20:3),NA,NA
PC(16:0/20:4),NA,NA
PC(16:0/20:5),NA,NA
PC(16:0/22:5),NA,NA
PC(16:0/22:6),NA,NA
PC(16:1/16:1),NA,NA
PC(16:1/18:2),NA,NA
PC(18:0/18:1),NA,NA
PC(18:0/18:2),NA,NA
PC(18:0/18:3),NA,NA
PC(18:0/20:2),NA,NA
PC(18:0/20:3),NA,NA
PC(18:0/20:4),NA,NA
PC(18:1/16:0),NA,NA
PC(18:1/18:1),NA,NA
PC(18:1/18:2),NA,NA
PC(18:1/20:1),NA,NA
PC(18:1/20:4),NA,NA
PC(18:1/24:1),NA,NA
PC(18:2/20:0),NA,NA
PE(12:0/12:0),NA,NA
PE(14:0/22:6),NA,NA
PE(16:0/18:0),NA,NA
PE(16:0/18:1),NA,NA
PE(16:0/18:2),NA,NA
PE(16:0/18:3),NA,NA
PE(16:0/20:4),NA,NA
PE(16:0/20:5),NA,NA
PE(18:0/18:2),NA,NA
PE(18:2/18:2),NA,NA
PE(18:2/18:3),NA,NA
PE(18:3/18:3),NA,NA
PG(16:0/16:0),NA,NA
PG(16:0/18:1),NA,NA
PS(18:0/18:2),NA,NA
alpha-Tocopherol,NA,NA
Ubidecarenone,NA,NA
Ubiquinone 9,NA,NA
Vitamin K1,NA,NA
Cer(24:1),NA,NA
GalCer(d18:2/18:1),NA,NA
GalCer(d18:2/20:1),NA,NA
Phytosphingosine,NA,NA
SM(d18:1/17:0),NA,NA
.beta.-Sitosterol,NA,NA
gamma-sitosterol,NA,NA
.alpha.-Amyrin,NA,NA
.beta.-Cryptoxanthin,NA,NA
Antheraxanthin,NA,NA
Apocarotenal,NA,NA
beta-Carotene,NA,NA
Cycloartenol acetate,NA,NA
gibberellic acid,NA,NA
Lutein,NA,NA
Zeaxanthin,NA,NA
